state,group,total_water_hh,children_out_formal,children_never_formal,no_vaccine,dependents,independents,vulnerability_hh_child_hoh,vulnerability_hh_pregnant,vulnerability_hh_breastfeeding,vulnerability_hh_chronically_ill,vulnerability_hh_mentally_disabled,vulnerability_hh_physically_disabled,real_sex_hoh,secu_incident_comp,documentation_comp,eviction_comp,restriction_comp,exploitation_comp,missing_comp,psycho_distress_comp,protection_index,current_attend_comp,never_attend_comp,barrier_educ_comp,barrier_girl_comp,educ_nfi_comp,education_index,shelter_type_comp,shelter_occup_comp,shelter_damage_comp,shelter_crowd_comp,shelter_index,main_income_comp,debt_comp,cash_access_comp,bank_access_comp,waste_coverage_comp,mobile_access_comp,security_access_comp,earlyrecovery_index,improved_water_comp,water_consumption_comp,latrine_access_comp,water_collect_comp,wash_hands_comp,wash_index,fcs_comp,rcsi_comp,firewood_sufficient_comp,firewood_source_comp,market_barrier_comp,access_land_comp,access_seeds_inputs_comp,foodsec_index,barrier_health_comp,no_vaccine_comp,illness_comp,distance_health_comp,birth_attend_comp,health_index,ch_phase_comp,isolated_comp,female_headed_comp,dependency_ratio_comp,child_headed_comp,plw_comp,ill_disabled_comp,vulnerability_index,health_coping_comp,water_coping_comp,livelihood_coping_comp,fuel_coping_comp,nfi_comp,coping_gap_index,people_displacement_comp,people_restriction_comp,services_facilities_comp,services_comms_comp,access_assistance_comp,access_route_comp,access_uxo_comp,impact_index,msni_nga
NG008,non_displaced,250,0,0,0,4,3,0,0,0,0,0,0,female,0,1,0,0,0,0,1,1,NA,0,0,0,0,NA,0,0,0,3,2,0,1,0,1,0,0.5,0,1,3,0,0,1,0,2,0,2,0,0,1,0,0,2,2,0,2,0,2,3,0.5,0,2,2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2
NG002,idp,175,0,0,0,0,1,0,0,0,0,0,0,male,0,0,0.5,0,0,1,0,1,NA,0,0,0,0,NA,1,2,2,3,3,0,1,0,1,1,0.5,0,2,0,NA,0,0,3,NA,3,2,1,1,1,0,0,4,1,0,2,2,2,3,0.5,0.5,0,0,0,0,0,0,0,0,3,0,1,3,1.5,0,1.5,1,0,0,0,2,NA
NG008,non_displaced,20,0,0,0,3,3,0,1,0,4,0,0,male,0,0,0,0,0,0,0,1,NA,0,1,0,1,NA,0,0,0,0,1,0,1,0,0,1,0.5,1,2,0,3,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,2,2,0,0,0,2,0,1,1,1,0,0,2,0,1,2,0,0,0,1,0,0,0,1,2
NG008,non_displaced,40,0,0,0,2,2,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,1,0,0,NA,2,0,2,3,3,0,1,0,0,1,0.5,1,2,0,2,0,0,3,2,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.5,1,2
NG008,non_displaced,NA,0,0,0,5,3,0,0,1,0,0,0,male,0,1,0.5,0,0,0,0,1,NA,0,0,0,1,NA,1,0,2,0,2,0,1,0,1,1,0.5,0,2,3,NA,0,0,3,NA,0,2,0,0,1,0,0,2,2,0,0,2,2,3,0.5,0,0,2,0,1,0,0,0,2,3,0,1,3,0,0,0,1,0,0,0,1,NA
NG008,non_displaced,320,0,0,0,2,4,0,0,0,0,0,0,female,3,0,0,1,0,0,0,2,NA,0,0,1,0,NA,0,0,0,0,1,0,1,0,1,1,0.5,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1.5,0,1,0,0,0,1,2
NG036,non_displaced,300,0,0,0,5,2,0,0,1,0,0,0,male,0,0,0,0,1,0,0,1,NA,0,0,0,0,NA,1,2,2,0,2,0,0,0,0,1,0.5,2,2,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,0,1,2,2,3,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG002,non_displaced,210,2,0,0,6,7,0,0,0,0,0,0,male,0,0,0.5,0,0,0,0,1,2,0,0,0,1,2,1,0,1,3,2,0,0,0,1,1,0.5,0,1,3,0,0,0,3,2,0,0,0,1,0,0,0,1,2,0,1,0,2,2,0,0,0,2,0,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,1.5,1,2
NG036,non_displaced,100,1,1,0,5,7,0,0,0,1,0,1,male,0,1.5,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,0,1,2,1,0,1,1,1,2,4,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,2,0,2,3,0.5,0,0,0,0,0,1,0,0,2,2,0,1,2,0,0,0,1,0,0,1.5,1,2
NG036,non_displaced,NA,1,1,0,1,2,0,1,0,0,0,0,male,0,0,0,0,1,0,0,1,5,2,1,0,0,3,0,0,0,3,2,0,1,0,1,1,0,0,2,0,NA,0,0,0,NA,2,2,0,0,1,0,0,2,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1,NA
NG002,non_displaced,750,0,0,0,1,3,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,1,0,1,1,0.5,2,2,3,NA,3,0,3,NA,0,2,0,0,1,0,0.5,2,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,1,0,0,0,1,NA
NG002,non_displaced,140,4,1,0,4,4,0,0,0,0,0,0,female,3,1.5,0,1,0,0,0,2,5,2,1,0,0,3,0,0,0,0,1,0,1,0,1,0,1,2,2,3,0,0,1,0,2,3,2,1,0,1,0,0,3,2,0,2,2,2,4,0.5,0,2,2,0,0,0,1,0,2,3,2,1,4,0,1.5,1.5,1,0,0,0,2,4
NG036,non_displaced,100,8,8,0,7,3,0,0,1,0,0,0,male,0,1.5,0,0,0,0,1,1,5,2,0,0,0,3,2,0,0,0,1,0,0,0,1,1,0.5,2,2,3,2,3,1,0,3,0,2,0,1,1,0,0,2,1,0,1,2,2,3,0,0,0,2,0,1,0,0,0,2,3,0,1,3,0,0,0,1,0,0,0,1,3
NG036,non_displaced,140,1,1,0,0,5,0,0,0,0,0,0,male,0,0.5,0,0,0,0,0,1,5,2,0,0,0,3,2,0,2,3,3,0,1,2,1,1,1,2,4,3,0,3,0,3,3,0,0,0,1,1,0,0,1,2,0,0,2,2,3,0.5,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1.5,1,3
NG002,non_displaced,400,0,0,0,2,1,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,1,0,0,1,0.5,2,2,3,0,0,0,3,2,2,2,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1.5,1,2
NG002,idp,NA,0,0,0,1,2,0,0,0,0,0,0,male,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,0,1,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.5,0,0,0,0,1.5,3,NA
NG002,non_displaced,150,0,0,0,3,3,0,0,1,0,1,0,male,0,1,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,1,0,1,1,0.5,0,2,3,0,0,0,3,2,3,0,1,0,0,0.5,0,2,1,0,1,2,2,3,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG008,returnee,135,0,0,0,0,2,0,0,0,0,0,0,male,0,0,0,1,1,2,0,2,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,1,1,0.5,1,2,3,0,0,1,3,3,2,2,0,1,0,0,0,2,2,0,2,2,2,4,0.5,0,0,0,0,0,0,0,0,2,0,2,1,3,0,1.5,0,1,0,0,0,1,3
NG008,non_displaced,85,0,0,0,0,1,0,1,0,0,0,0,male,0,0.5,0.5,1,0,3,0,2,NA,0,0,0,0,NA,2,0,3,NA,NA,0,1,2,1,1,0.5,0,2,3,0,0,0,2,2,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0.5,0.5,0,0,0,1,0,0,0,0,3,0,1,2,0,1.5,0,1,0,0,0,1,NA
NG008,returnee,120,4,4,1,7,2,0,0,0,0,0,0,male,0,0.5,0,0,0,0,0,1,3,2,1,0,0,2,1,0,2,3,3,0,0,0,1,1,0.5,2,2,3,2,0,1,3,3,2,2,0,0,1,0,0,2,2,2,1,0,2,3,0.5,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1.5,1,3
NG002,non_displaced,220,1,1,0,1,2,0,1,0,0,0,0,male,0,0,0,0,0,0,0,1,5,2,0,0,1,3,1,0,1,3,2,2,1,2,1,1,0.5,2,4,3,0,0,1,3,3,0,0,0,0,0,0,0,1,2,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,0,1,0,1.5,1.5,2,3
NG036,non_displaced,60,2,2,0,2,3,0,1,0,0,0,0,male,0,0,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,2,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0.5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.5,1,2
NG008,returnee,480,0,0,0,3,2,0,1,0,0,0,0,male,0,1,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,1,0,1,1,0.5,1,2,3,0,0,1,3,3,0,0,0,0,0,0,0.5,1,0,0,2,0,2,2,0,0,0,2,0,1,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,1,3
NG002,non_displaced,125,0,0,0,2,2,0,1,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,1,0,1,1,0,0,2,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,2,2,0,0,0,2,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,2
NG008,idp,40,0,0,0,2,2,0,0,1,0,0,0,male,0,1,0,1,0,0,1,2,NA,0,0,0,1,NA,2,3,0,0,2,2,0,0,1,1,1,1,3,0,2,0,1,3,2,0,2,1,0,1,0,0,2,2,0,1,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,2,3,1.5,0,1,0,0,0,2,2
NG002,non_displaced,150,0,0,0,1,6,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,1,0,1,0,1,0,1,0,1,1,1,2,3,3,0,3,1,3,4,2,2,0,0,1,0,0,2,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,1,0,0,0,1,4
NG008,non_displaced,600,0,0,0,2,1,0,0,0,0,0,0,female,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,0,0,1,1,0.5,0,1,3,NA,0,0,3,NA,2,2,0,0,0,0,0.5,2,0,0,0,0,2,1,0.5,0,2,2,0,0,0,1,0,0,3,0,1,3,0,0,0,1,0,0,0,1,NA
NG008,returnee,200,2,2,0,3,2,0,0,1,0,0,0,female,2,1.5,0,0,0,0,0,2,5,2,0,0,0,3,1,2,2,3,3,0,1,0,1,0,0.5,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0.5,0,2,2,0,1,0,1,0,0,0,0,1,2,0,0,1.5,1,0,0,0,1,2
NG008,non_displaced,200,1,1,0,3,4,0,0,0,0,0,0,male,0,0.5,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,3,2,2,0,0,1,0,0.5,1,2,3,0,0,0,3,2,0,2,0,0,1,0,0,2,2,0,0,2,2,3,0.5,0,0,2,0,0,0,0,0,0,3,2,1,3,0,0,0,1,0,0,1.5,1,3
NG008,non_displaced,420,0,0,0,0,3,0,0,0,0,0,0,male,0,0,0,0,0,0,1,1,NA,0,0,0,0,NA,0,0,0,0,1,0,1,0,1,1,1,0,2,3,0,0,1,3,3,3,2,1,0,1,0.5,0.5,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,4
NG008,returnee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,0,1,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,1,3,NA,0,0,0,NA,3,0,0,0,0,0,0,2,1,NA,0,0,2,NA,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,NA
NG036,non_displaced,150,0,0,0,5,12,0,0,5,0,0,0,male,0,0,0,0,0,0,1,1,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,1,1,0.5,0,1,3,2,0,0,0,2,0,2,0,0,1,0,0,2,1,0,1,0,2,2,0.5,0,0,0,0,1,0,0,0,2,2,0,1,3,0,0,0,1,0,0,1.5,1,3
NG008,returnee,450,1,1,0,2,1,1,1,0,0,0,0,male,0,0,0,1,1,0,0,1,5,2,1,0,0,3,1,0,1,3,2,0,1,2,0,0,0.5,0,2,0,NA,0,0,0,NA,3,2,0,0,0,0,0,2,1,0,1,0,2,2,0.5,0,0,2,2,1,0,1,0,0,3,0,1,3,0,1.5,0,1,0,0,0,1,NA
NG008,idp,80,0,0,0,0,1,0,0,0,1,0,0,male,2,0.5,0,1,0,0,0,2,NA,0,0,0,0,NA,1,3,2,3,4,2,1,0,1,0,1,0,2,0,0,0,0,3,2,0,2,0,0,0,0,0,1,2,0,1,0,2,2,0.5,0.5,0,0,0,0,1,0,0,0,3,0,1,3,1.5,1.5,1.5,1,0,0,0,2,3
NG008,idp,NA,3,3,0,2,2,0,0,0,0,0,0,male,0,0,0.5,1,1,0,1,2,5,2,0,0,0,3,1,3,2,NA,NA,0,1,0,1,0,0.5,0,1,3,NA,0,1,3,NA,3,2,0,0,1,0.5,0.5,3,2,0,0,2,2,3,0.5,0,0,2,0,0,0,0,0,2,0,0,1,2,1.5,1.5,0,1,0,0,0,2,NA
NG008,idp,220,0,0,0,4,2,0,1,0,0,0,0,male,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,0,2,1,1,1,1,3,3,0,0,0,0,2,3,0,1,0,1,0,0,2,0,0,0,2,2,2,0.5,0,0,2,0,1,0,0,0,0,0,0,1,1,3,1.5,0,1,0,0,0,2,2
NG036,non_displaced,NA,0,0,0,3,4,0,0,1,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,1,0,0,NA,0,0,0,0,1,0,1,0,0,1,0.5,1,2,0,NA,0,0,0,NA,3,2,0,0,1,0,0,3,1,0,0,2,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,NA
NG008,non_displaced,800,3,3,0,2,2,0,0,0,0,0,0,female,0,1.5,0,1,0,0,0,1,5,2,1,0,1,4,0,0,0,0,1,0,0,0,1,1,0.5,2,2,3,NA,0,0,0,NA,2,0,0,0,1,0,0,2,1,0,2,2,2,3,0.5,0,2,2,0,0,0,1,0,0,0,0,1,1,0,1.5,0,1,0,0,1.5,2,NA
NG036,non_displaced,175,0,0,1,1,3,0,1,0,0,0,0,male,0,0.5,0,0,0,0,1,1,NA,0,0,0,1,NA,0,0,0,0,1,0,1,0,1,1,0.5,0,2,0,0,0,0,3,2,0,0,0,1,1,0,0,1,0,2,1,2,2,3,0.5,0,0,0,0,1,0,0,0,2,3,2,1,3,0,0,0,1,0,0,1.5,1,3
NG008,idp,130,0,0,0,1,2,0,0,1,0,0,0,male,0,0.5,0,1,0,0,0,1,NA,0,0,0,0,NA,0,3,0,0,2,0,1,0,1,0,1,2,2,0,0,0,0,0,1,2,0,1,0,1,0,0,2,2,0,1,0,2,2,0.5,0,0,0,0,1,0,0,0,0,3,0,1,2,3,1.5,1.5,1,0,0,0,3,2
NG008,idp,290,1,1,0,1,2,0,1,0,0,0,0,male,0,1.5,0,0,0,0,0,1,5,2,0,0,0,3,2,3,2,3,4,0,1,0,1,1,0,0,2,3,0,0,0,3,2,3,0,0,0,0,0,0,2,1,0,0,0,2,2,0.5,0,0,0,0,1,0,0,0,2,3,0,1,3,3,0,0,0,0,0,0,2,3
NG036,non_displaced,80,0,0,0,4,1,1,0,0,0,0,0,male,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,2,2,0,0,0,2,2,0,0,1,0,0,2,0,1,2,0,1.5,1.5,0,0,0,1.5,2,2
NG036,returnee,NA,0,0,0,3,2,0,1,0,0,0,0,male,0,1.5,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,1,0,1,0,0.5,0,1,0,NA,0,0,3,NA,2,0,0,0,1,0,0,2,2,0,0,0,2,2,0.5,0,0,2,0,1,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,NA
NG036,non_displaced,320,1,1,0,3,2,0,0,0,0,0,0,male,0,1.5,0,0,0,0,0,1,2,2,0,0,1,2,1,0,1,3,2,0,1,0,1,1,0.5,2,2,0,0,0,0,0,1,3,0,0,1,1,0,0,2,0,0,1,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG002,non_displaced,185,0,0,0,1,3,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,1,0,1,0,1,0,0,0,1,1,0.5,0,1,3,0,3,1,3,4,3,0,0,1,1,0,0,2,2,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4
NG008,non_displaced,400,3,3,0,1,4,0,0,0,0,0,0,male,0,1,0,0,0,0,0,1,5,2,0,0,0,3,2,0,2,3,3,0,1,0,1,1,0.5,2,2,0,0,0,0,3,2,2,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG036,returnee,160,0,0,0,1,7,0,0,0,0,0,0,male,0,0,0,0,0,0,1,1,NA,0,1,0,1,NA,0,0,0,3,2,0,1,0,1,1,0.5,1,2,3,0,0,1,0,2,0,2,0,0,1,0,0,2,0,0,1,0,1,1,0.5,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2
NG002,non_displaced,NA,0,0,0,0,2,0,1,0,0,0,0,male,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,1,0,2,0,2,0,0,0,0,1,0,0,1,3,NA,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,2,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.5,0,0,0,0,0,1,NA
NG036,non_displaced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA,0,0,1,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,1,3,NA,0,0,0,NA,3,0,0,0,0,0,0,2,1,NA,0,0,2,NA,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1.5,1,NA
NG036,non_displaced,80,5,5,0,4,3,0,0,0,0,0,0,female,0,1.5,0,0,0,0,0,1,5,2,2,0,0,4,0,0,0,3,2,0,1,0,1,1,0.5,2,2,3,2,3,1,3,4,2,0,0,0,1,0,0,2,1,0,0,2,2,2,0.5,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1.5,1,4
NG036,returnee,220,0,0,0,8,7,0,0,0,0,0,0,male,0,1,0,0,0,0,0,1,NA,0,1,0,1,NA,0,0,0,0,1,0,0,0,1,1,0.5,2,2,3,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0.5,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG036,idp,NA,0,0,0,1,2,0,0,1,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,0,2,1,1,0.5,1,2,0,NA,0,0,3,NA,2,2,0,0,1,0,0,2,2,0,2,0,1,2,0.5,0,0,0,0,1,0,0,0,0,0,0,1,2,1.5,0,0,1,2,0,1.5,3,NA
NG036,non_displaced,100,3,3,0,3,2,0,1,0,0,0,0,male,0,1.5,0,0,0,0,1,1,5,2,0,0,1,3,0,0,0,3,2,0,0,0,1,1,1,2,2,3,0,0,0,3,2,0,0,0,1,0,0,0,1,2,0,1,0,2,2,0.5,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NG036,non_displaced,240,4,4,0,3,7,2,0,0,0,0,0,female,0,0,0,0,0,0,1,1,4,2,0,0,0,2,1,0,2,3,3,0,0,0,1,1,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0.5,0.5,1,0,0,2,0,2,2,0,0,2,0,2,0,0,1,0,2,3,2,1,3,0,0,0,0,0,0,0,1,3
NG008,idp,78,0,0,0,1,2,0,0,1,0,0,0,male,0,0.5,0,0,0,0,0,1,NA,0,0,0,0,NA,2,0,0,3,2,2,0,2,1,0,0.5,1,3,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,2,1,2,0.5,0,0,0,0,1,0,0,0,0,3,0,1,2,3,0,0,1,0,0,0,2,2
NG002,non_displaced,100,0,0,0,2,8,8,0,0,0,0,0,male,0,0,0,0,0,0,1,1,NA,0,0,0,1,NA,1,0,1,0,1,0,0,0,1,1,0.5,2,2,3,2,0,0,3,3,0,0,0,0,0,0,0.5,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,2,2,0,1,2,0,0,0,1,0,0,1.5,1,3
NG002,non_displaced,NA,0,0,0,0,2,0,1,0,0,0,0,male,0,0.5,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,0,0,1,0,0,0,1,0,NA,0,0,0,NA,0,0,0,0,1,0,0,1,2,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.5,1,NA
NG002,returnee,70,0,0,0,2,8,0,0,0,0,0,0,male,0,0,0,1,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,1,0,0,0,1,1,0,2,2,0,3,0,0,3,2,3,0,0,0,1,0,0,2,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,1.5,0,0,0,0,0,1,2
NG008,non_displaced,360,0,0,0,5,6,0,1,1,0,0,0,male,0,1,0,0,0,0,0,1,NA,0,0,0,1,NA,1,0,1,3,2,0,1,0,1,1,0.5,2,2,3,0,0,1,3,3,3,0,0,1,1,0,0.5,2,2,0,2,0,2,3,0,0,0,2,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,3
NG002,non_displaced,90,0,0,0,0,1,0,0,0,0,0,0,male,0,0.5,0.5,0,0,0,0,1,NA,0,0,0,0,NA,1,2,1,0,2,2,1,0,1,1,0,1,3,3,0,0,0,3,2,2,2,0,0,1,0,0,2,0,0,0,0,2,1,0,0.5,0,0,0,0,0,0,0,2,3,2,1,4,0,0,0,0,0,0,0,1,4
NG002,idp,400,1,0,0,4,2,0,0,0,0,0,0,female,0,1,0.5,1,1,0,0,2,1,0,0,0,1,1,1,2,1,3,3,0,1,0,1,1,1,0,2,3,0,0,0,3,2,3,2,1,0,0,0,0,3,2,0,0,0,2,2,0.5,0,2,2,0,0,0,1,0,0,0,0,1,2,1.5,1.5,1.5,1,0,0,0,2,3
NG008,idp,50,1,1,0,3,0,0,0,0,0,0,0,male,0,1,0,0,1,0,0,1,2,2,0,0,0,2,2,3,0,3,3,0,1,0,1,1,1,0,2,3,0,0,0,2,2,3,2,0,1,1,0,0,3,0,0,0,2,2,2,0.5,0,0,2,0,0,0,0,0,2,0,2,1,3,3,0,0,1,0,0,0,2,3
NG002,idp,20,0,0,0,1,4,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,1,0,0,NA,0,3,0,0,2,0,1,2,1,1,0.5,2,3,3,3,3,1,3,4,2,2,0,0,1,0.5,0.5,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,2,4
NG008,idp,110,2,2,1,5,5,0,0,1,0,0,0,male,0,1.5,0.5,1,1,0,0,2,2,2,0,0,0,2,1,0,1,3,2,0,0,2,1,0,1,1,2,0,2,0,0,0,1,2,0,0,1,0,0,0,2,0,2,1,0,2,2,1,0,0,2,0,1,0,1,0,0,3,0,1,2,3,1.5,1.5,1,0,0,1.5,3,2
NG008,non_displaced,120,0,0,0,6,2,0,0,0,5,0,0,female,0,1.5,0,0,0,0,0,1,NA,0,1,0,0,NA,0,0,0,0,1,0,0,0,1,1,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
NG008,idp,120,1,1,0,1,3,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,5,2,0,0,0,3,2,0,2,0,2,0,1,0,1,1,1,0,2,0,0,0,0,3,2,2,2,0,0,1,0.5,0.5,3,0,0,0,0,2,1,0.5,0,0,0,0,0,0,0,0,0,3,0,1,3,1.5,0,1.5,1,0,0,0,2,3
NG008,non_displaced,NA,2,2,0,5,2,0,0,1,0,0,0,male,0,0.5,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,3,2,0,1,0,1,0,1,0,2,3,NA,0,0,2,NA,3,0,0,0,1,0,0,2,0,0,1,0,2,2,0,0,0,2,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1.5,1,NA
NG008,returnee,875,0,0,0,2,4,1,0,0,0,0,0,male,0,1,0,0,0,0,0,1,NA,0,0,0,1,NA,0,0,0,NA,NA,2,1,0,1,1,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0.5,0,0,0,2,0,0,0,0,2,3,2,1,3,0,0,0,1,0,0,1.5,1,NA
NG036,idp,80,3,3,0,5,3,0,0,2,2,0,0,male,0,0,0,1,1,0,0,1,5,2,1,0,1,4,1,2,2,0,2,0,1,0,1,1,0,2,2,0,2,0,0,3,2,2,2,0,0,1,0,0,2,2,0,1,2,2,3,0.5,0,0,2,0,1,1,1,0,0,2,0,1,2,1.5,1.5,1.5,0,0,0,0,2,2
NG002,non_displaced,40,0,0,0,0,2,0,1,0,0,0,0,male,0,0.5,0,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,3,2,0,0,2,1,1,1,1,3,3,0,3,0,3,3,2,2,1,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,0,1,0,0,1.5,1,3
NG008,non_displaced,200,1,1,0,3,1,0,0,0,0,0,0,male,1,0.5,0,0,0,0,0,1,4,2,0,0,0,2,0,0,0,0,1,0,1,0,1,1,1,0,2,0,NA,0,1,0,NA,0,2,1,0,0,0,0,2,0,0,1,0,2,2,0.5,0.5,0,2,0,0,0,0,0,0,3,0,1,3,0,0,0,1,0,0,0,1,NA
NG008,idp,240,0,0,0,0,1,0,0,0,0,0,0,male,0,0,0,0,0,0,0,1,NA,0,1,0,0,NA,2,3,2,0,3,2,1,2,1,0,1,1,4,3,0,3,0,0,2,3,2,0,0,0,0,0,2,0,0,0,0,2,1,0.5,0,0,0,0,0,0,0,0,0,3,0,1,3,3,0,0,1,0,0,0,2,3
